Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
60,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,0,0.962,0.038,0.000,0.000,0.000,0.000,0
61,1,0.000,0.956,0.041,0.003,0.000,0.000,0
61,2,0.000,0.000,0.962,0.037,0.001,0.000,0
61,3,0.000,0.000,0.000,0.974,0.026,0.000,0
61,4,0.000,0.000,0.000,0.000,0.985,0.015,0
61,5,0.000,0.000,0.000,0.000,0.000,1.000,0
61,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,0,0.778,0.212,0.010,0.000,0.000,0.000,0
62,1,0.052,0.792,0.148,0.008,0.000,0.000,0
62,2,0.005,0.097,0.776,0.120,0.003,0.000,0
62,3,0.001,0.010,0.141,0.765,0.081,0.003,0
62,4,0.000,0.000,0.014,0.206,0.752,0.027,0
62,5,0.000,0.000,0.000,0.022,0.237,0.741,0
62,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
