Reading ../../NN/NN_model/ALC-Inputs-V2.csv - Complete
Reading in the occupant start state XML - Complete
Loading the activity statistics - Complete
Starting the search at Tue Oct 27 11:31:53 2015
True Error 154.578939960463, average of 2803.47893996046 kWh
True Error 91.5522029301992, average of 2740.4522029302 kWh
True Error 4.38809915831507, average of 2644.51190084169 kWh
True Error 213.718652208998, average of 2435.181347791 kWh
True Error 22.3161153025167, average of 2671.21611530252 kWh
True Error 57.2406012297356, average of 2706.14060122974 kWh
True Error 38.3163843445418, average of 2610.58361565546 kWh
True Error 128.98321063584, average of 2777.88321063584 kWh
True Error 309.339153247578, average of 2958.23915324758 kWh
True Error 41.9549064738217, average of 2690.85490647382 kWh
True Error 76.7099305638258, average of 2572.19006943617 kWh
True Error 54.7056666019625, average of 2703.60566660196 kWh
True Error 84.4128525403207, average of 2564.48714745968 kWh
True Error 7.88843056803489, average of 2641.01156943197 kWh
Wed Oct 28 22:10:18 2015: Minimum: 0.614121109486859, Scalar: 1.44236192828559, Error:0.00437655428245232
True Error 64.6409464192675, average of 2584.25905358073 kWh
True Error 164.998180109063, average of 2483.90181989094 kWh
True Error 109.389966483134, average of 2758.28996648313 kWh
True Error 66.3888864738215, average of 2582.51111352618 kWh
True Error 86.6406522826082, average of 2735.54065228261 kWh
True Error 97.6623581894419, average of 2746.56235818944 kWh
True Error 43.3601896366349, average of 2692.26018963664 kWh
True Error 118.169500755593, average of 2530.73049924441 kWh
True Error 64.4290543441311, average of 2584.47094565587 kWh
True Error 45.7036834552814, average of 2603.19631654472 kWh
True Error 12.6065279910308, average of 2636.29347200897 kWh
True Error 72.741087043863, average of 2576.15891295614 kWh
True Error 50.6093380727225, average of 2598.29066192728 kWh
True Error 300.086104759496, average of 2948.9861047595 kWh
True Error 65.2492034986612, average of 2714.14920349866 kWh
True Error 37.2243881584623, average of 2686.12438815846 kWh
Wed Oct 28 23:42:08 2015: Minimum: 0.614121109486859, Scalar: 1.44236192828559, Error:0.00270484184318392
True Error 55.9463095911228, average of 2592.95369040888 kWh
True Error 41.5718889870036, average of 2607.328111013 kWh
True Error 81.8747693891955, average of 2567.0252306108 kWh
True Error 368.641767128398, average of 3017.5417671284 kWh
True Error 184.33113159596, average of 2464.56886840404 kWh
True Error 69.4271033722566, average of 2579.47289662774 kWh
True Error 84.8085303484872, average of 2733.70853034849 kWh
True Error 104.412672590563, average of 2544.48732740944 kWh
True Error 70.8736716903577, average of 2578.02632830964 kWh
True Error 190.783137700023, average of 2458.11686229998 kWh
True Error 3.26865277551451, average of 2652.16865277551 kWh
True Error 43.9805831167005, average of 2604.9194168833 kWh
True Error 21.0495730570919, average of 2669.94957305709 kWh
True Error 13.1899973957929, average of 2635.71000260421 kWh
True Error 41.9447978881026, average of 2606.9552021119 kWh
True Error 45.3536373783595, average of 2694.25363737836 kWh
Thu Oct 29 01:40:03 2015: Minimum: 0.614121109486859, Scalar: 1.44236192828559, Error:0.00167167340434541
True Error 115.547720264982, average of 2533.35227973502 kWh
True Error 47.3617740009608, average of 2601.53822599904 kWh
True Error 22.9267363240042, average of 2671.826736324 kWh
True Error 23.3090858692899, average of 2672.20908586929 kWh
True Error 136.258856855099, average of 2512.6411431449 kWh
True Error 40.936593995792, average of 2689.83659399579 kWh
True Error 30.1137574171057, average of 2618.78624258289 kWh
True Error 4.33802133104382, average of 2644.56197866896 kWh
True Error 81.8289429041688, average of 2730.72894290417 kWh
True Error 61.5375870316489, average of 2587.36241296835 kWh
True Error 50.8472522468014, average of 2598.0527477532 kWh
True Error 8.09257866326789, average of 2656.99257866327 kWh
True Error 11.9846869064436, average of 2660.88468690644 kWh
True Error 19.5367467946157, average of 2668.43674679462 kWh
True Error 319.062191751598, average of 2967.9621917516 kWh
True Error 118.424802053485, average of 2767.32480205348 kWh
Thu Oct 29 03:40:54 2015: Minimum: 0.614121109486859, Scalar: 1.44236192828559, Error:0.00103314431408468
True Error 6.35053336045348, average of 2642.54946663955 kWh
True Error 134.042427081466, average of 2514.85757291853 kWh
True Error 1.62305576281005, average of 2647.27694423719 kWh
True Error 14.1723151671631, average of 2663.07231516716 kWh
True Error 32.3772238745751, average of 2616.52277612543 kWh
True Error 13.4046777334934, average of 2662.30467773349 kWh
True Error 35.6875489748918, average of 2613.21245102511 kWh
True Error 178.11561568583, average of 2827.01561568583 kWh
True Error 81.9957644149331, average of 2566.90423558507 kWh
True Error 95.0509605698053, average of 2743.95096056981 kWh
True Error 12.2776172351546, average of 2636.62238276485 kWh
True Error 62.263843042389, average of 2586.63615695761 kWh
True Error 119.197633851071, average of 2529.70236614893 kWh
True Error 296.257601910404, average of 2945.1576019104 kWh
True Error 73.4554780229969, average of 2722.355478023 kWh
True Error 143.186741577692, average of 2792.08674157769 kWh
Thu Oct 29 05:19:19 2015: Minimum: 0.614121109486859, Scalar: 1.44236192828559, Error:0.000638514180432624
Finished iterating at Thu Oct 29 05:19:19 2015
Minimum scalar 1.44236192828559 with absolute true difference of 0.614121109486859

Multithreading validation
True Error 33.6902760744324, average of 2615.20972392557 kWh
True Error 155.928321194854, average of 2492.97167880515 kWh
True Error 18.9808408335643, average of 2629.91915916644 kWh
True Error 109.763235823196, average of 2539.1367641768 kWh
True Error 6.53663904379709, average of 2642.3633609562 kWh
True Error 7.63039210838906, average of 2656.53039210839 kWh
True Error 24.9107910180492, average of 2623.98920898195 kWh
True Error 22.0341558111363, average of 2626.86584418886 kWh
True Error 349.567499082334, average of 2998.46749908233 kWh
True Error 63.8184924884013, average of 2712.7184924884 kWh
True Error 151.499568072766, average of 2497.40043192723 kWh
True Error 190.073236997307, average of 2458.82676300269 kWh
True Error 10.2802051088474, average of 2659.18020510885 kWh
True Error 34.4359566476205, average of 2683.33595664762 kWh
True Error 78.085055956426, average of 2726.98505595643 kWh
True Error 114.421591628202, average of 2763.3215916282 kWh
Validation complete
